,rank i,d̄ᵢ,DM*,improvement %,raw p,BH threshold (i/10)·0.1,BH-adjusted p,significant?
Japan,1,0.000419,0.796361,3.416147,0.213213,0.01,1.0,False
UK,2,0.00013,0.192564,0.907592,0.423713,0.02,1.0,False
Germany,3,6.1e-05,0.182548,0.507459,0.427635,0.03,1.0,False
Mexico,4,-5.3e-05,-0.056282,-0.341986,0.522423,0.04,1.0,False
Canada,5,-0.000341,-0.689003,-1.871942,0.754334,0.05,1.0,False
South Korea,6,-0.000318,-0.75037,-1.842535,0.773202,0.06,1.0,False
Taiwan,7,-0.000706,-1.116827,-4.93576,0.867537,0.07,1.0,False
Australia,8,-0.000735,-1.669884,-6.480278,0.952029,0.08,1.0,False
Brazil,9,-0.003687,-4.080408,-36.725429,0.999971,0.09,1.0,False
South Africa,10,-0.001759,-4.104544,-16.233113,0.999974,0.1,0.999974,False
