,country,mean,std,min,max,skew,kurtosis
EWA,Australia,1.2755,0.9597,0.4657,8.8791,5.4911,35.5056
EWC,Canada,1.0882,0.7671,0.3195,7.053,4.928,30.9082
EWG,Germany,1.2536,0.7415,0.4024,6.1006,3.3693,15.9838
EWJ,Japan,1.0084,0.4578,0.3681,4.161,3.4917,18.7122
EWT,Taiwan,1.2226,0.5457,0.5081,5.0008,3.7021,20.4788
EWU,UK,1.0929,0.7093,0.371,6.2282,4.2485,23.9292
EWW,Mexico,1.4782,0.774,0.6813,7.1192,4.2481,23.3146
EWY,South Korea,1.5099,0.7315,0.6965,7.1767,4.8366,30.7092
EWZ,Brazil,2.0592,1.1854,0.9778,11.4166,5.3831,36.1466
EZA,South Africa,1.9133,0.839,0.7449,8.1104,4.3293,25.7236
